[0m[ INFO] [1581307492.938647773]: 46 | 0.000000,-0.000000,0.200000 | 0.029573,-0.005046,0.380000 | -0.268154,0.045755,0.536134 | -0.367601,0.062724,0.462328 | -0.576113,0.098303,0.385635 | -0.552340,0.018157,0.418974[0m
[0m[ INFO] [1581307512.938880020]: 47 | 0.000000,-0.000000,0.200000 | -0.005107,-0.029562,0.380000 | 0.014942,0.086486,0.698953 | 0.029932,0.173245,0.787684 | 0.048220,0.279096,0.985386 | 0.048974,0.315731,1.067589[0m
[0m[ INFO] [1581307532.939066224]: 48 | 0.000001,-0.000000,0.200000 | 0.001990,0.029934,0.380000 | 0.020874,0.314180,0.194399 | 0.016835,0.253422,0.085234 | 0.006208,0.093534,-0.072716 | 0.061095,0.106815,-0.142794[0m
[0m[ INFO] [1581307552.939219920]: 49 | -0.000000,-0.000000,0.200000 | -0.029147,0.007102,0.380000 | -0.358392,0.087325,0.352392 | -0.314475,0.076624,0.235851 | -0.181519,0.044228,0.057250 | -0.168685,-0.019422,-0.005071[0m
[0m[ INFO] [1581307572.939351541]: 50 | -0.000000,-0.000000,0.200000 | 0.026114,-0.014766,0.380000 | 0.318598,-0.180146,0.431987 | 0.418957,-0.236892,0.480288 | 0.613568,-0.346930,0.505646 | 0.551168,-0.375007,0.447183[0m
[0m[ INFO] [1581307592.939508501]: 51 | -0.000001,0.000000,0.200000 | -0.014103,-0.026479,0.380000 | -0.081826,-0.153648,0.687963 | -0.139387,-0.261739,0.713026 | -0.244789,-0.459669,0.694614 | -0.248649,-0.532975,0.746685[0m
[0m[ INFO] [1581307612.939642319]: 52 | -0.000000,0.000000,0.200000 | 0.002226,0.029917,0.380000 | 0.014050,0.188792,0.680365 | 0.004771,0.064141,0.679307 | -0.011302,-0.151787,0.740477 | 0.063285,-0.130168,0.694987[0m
[0m[ INFO] [1581307632.939776779]: 53 | -0.000000,0.000000,0.200000 | -0.007109,0.029146,0.380000 | -0.077928,0.319496,0.542115 | -0.106224,0.435510,0.579063 | -0.159533,0.654073,0.582724 | -0.129022,0.715491,0.641007[0m
[0m[ INFO] [1581307652.939932821]: 54 | 0.000001,-0.000000,0.200000 | 0.011427,0.027739,0.380000 | -0.049707,-0.120688,0.679720 | -0.045033,-0.109343,0.804117 | -0.013078,-0.031769,1.012890 | -0.008463,-0.121610,1.015601[0m
[0m[ INFO] [1581307672.940095733]: 55 | 0.000000,-0.000000,0.200000 | 0.019328,0.022945,0.380000 | 0.105110,0.124786,0.692842 | 0.026380,0.031314,0.666581 | -0.118192,-0.140328,0.682798 | -0.188155,-0.185149,0.717385[0m
