[0m[ INFO] [1580824875.708541102]: 10 | -0.000000,-0.000000,0.200000 | -0.015225,0.025849,0.380000 | -0.044914,0.076254,0.714930 | -0.076971,0.130680,0.607064 | -0.104776,0.177886,0.388836 | -0.146747,0.125017,0.448361[0m
[0m[ INFO] [1580824895.708719995]: 11 | -0.000000,-0.000000,0.200000 | 0.025293,0.016133,0.380000 | -0.261361,-0.166704,0.379625 | -0.366571,-0.233810,0.372362 | -0.551459,-0.351738,0.422705 | -0.499878,-0.342418,0.349543[0m
[0m[ INFO] [1580824915.708880819]: 12 | -0.000000,0.000000,0.200000 | 0.008865,-0.028660,0.380000 | -0.052939,0.171153,0.648058 | -0.088997,0.287727,0.675176 | -0.147265,0.476109,0.783536 | -0.169928,0.389264,0.790188[0m
[0m[ INFO] [1580824935.709018768]: 13 | 0.000000,0.000000,0.200000 | 0.002113,0.029925,0.380000 | -0.021744,-0.307940,0.350368 | -0.025896,-0.366730,0.460602 | -0.029156,-0.412901,0.680789 | 0.017843,-0.463722,0.738307[0m
[0m[ INFO] [1580824955.709197983]: 14 | -0.000000,-0.000000,0.200000 | 0.029196,-0.006899,0.380000 | 0.138439,-0.032712,0.700936 | 0.181999,-0.043005,0.584224 | 0.200025,-0.047265,0.359988 | 0.170003,-0.104610,0.422520[0m
[0m[ INFO] [1580824975.709350105]: 15 | -0.000000,0.000000,0.200000 | -0.019440,0.022849,0.380000 | -0.183262,0.215392,0.607354 | -0.228549,0.268620,0.710992 | -0.340654,0.400379,0.854856 | -0.335667,0.311680,0.840448[0m
[0m[ INFO] [1580824995.709498643]: 16 | -0.000000,-0.000000,0.200000 | -0.009115,0.028582,0.380000 | 0.093798,-0.294111,0.350368 | 0.121528,-0.381061,0.435783 | 0.156365,-0.490296,0.629379 | 0.207980,-0.443019,0.572803[0m
[0m[ INFO] [1580825015.709650527]: 17 | -0.000000,-0.000000,0.200000 | 0.027971,0.010846,0.380000 | 0.284317,0.110247,0.580015 | 0.379463,0.147142,0.652202 | 0.577798,0.224049,0.725507 | 0.518334,0.250478,0.663335[0m
[0m[ INFO] [1580825035.709799717]: 18 | -0.000000,0.000000,0.200000 | 0.018537,-0.023588,0.380000 | -0.010611,0.013503,0.716712 | 0.063538,-0.080851,0.751703 | 0.202564,-0.257760,0.751686 | 0.206789,-0.335829,0.796266[0m
[0m[ INFO] [1580825055.709991801]: 19 | 0.000000,0.000000,0.200000 | 0.003646,-0.029778,0.380000 | 0.010051,-0.082091,0.715890 | 0.017952,-0.146628,0.609132 | 0.025067,-0.204742,0.391882 | 0.085539,-0.199302,0.458317[0m
